"n","x","y","id"
"Maramarua",175.2148,-37.279,637
"Paeroa Rural",175.5786,-37.3935,638
"Tahuna-Mangateparu",175.4648,-37.5213,639
"Te Aroha East",175.7092,-37.5338,640
"Morrinsville West",175.5191,-37.6579,641
"Te Aroha West",175.7007,-37.551,642
"Te Rapa South",175.2411,-37.7614,643
"Waihi East",175.8556,-37.3823,644
"Waihi Beach-Bowentown",175.9556,-37.4281,645
"Katikati",175.9255,-37.5521,646
"Tauranga Central",176.167,-37.6795,647
"Onewhero",174.8755,-37.3642,648
"Pokeno",175.0202,-37.2442,649
"Pukekawa",175.0053,-37.3559,650
"Rangiriri",175.0901,-37.3897,651
"Te Kauwhata",175.148,-37.4025,652
"Huntly Rural",175.1913,-37.5304,653
"Waerenga",175.3085,-37.4238,654
"Huntly East",175.1655,-37.5541,655
"Frankton Junction",175.2626,-37.7965,656
"Hamilton Central",175.282,-37.7894,657
"Port Waikato-Waikaretu",174.7802,-37.4633,658
"Ngaruawahia North",175.1535,-37.6621,659
"Ngaruawahia Central",175.1451,-37.6664,660
"Te Rapa North",175.2207,-37.7323,661
"Rototuna North",175.2651,-37.7174,662
"Miropiko",175.2716,-37.7646,663
"Porritt",175.2864,-37.7588,664
"Hamilton Lake",175.2735,-37.7979,665
"Hamilton East Village",175.2932,-37.7903,666
"Hamilton West",175.2844,-37.8007,667
"Hillcrest West (Hamilton City)",175.3133,-37.7955,668
"Huntly West",175.1387,-37.536,669
"Te Akau",175.0456,-37.6971,670
"Taupiri-Lake Kainui",175.1884,-37.6586,671
"Kirikiriroa",175.2747,-37.782,672
"Whitikahu",175.3172,-37.571,673
"Horotiu",175.2025,-37.7026,674
"Resthill",175.2874,-37.8257,675
"Hamilton Park",175.3389,-37.7485,676
"Nawton East",175.2402,-37.7796,677
"Te Uku",174.9382,-37.8832,678
"Whatawhata East",175.1591,-37.8004,679
"Ruakura",175.3176,-37.7724,680
"Kainui-Gordonton",175.275,-37.6594,681
"Morrinsville East",175.5361,-37.6477,682
"Peachgrove",175.2973,-37.7769,683
"Raglan",174.8538,-37.8114,684
"Dinsdale South",175.2393,-37.7984,685
"Ngaruawahia South",175.1434,-37.6807,686
"Horsham Downs",175.2819,-37.7063,687
"Te Manatu",175.282,-37.7262,688
"Riverlea",175.3249,-37.8052,689
"Pukete East",175.2444,-37.7416,690
"Dinsdale North",175.2458,-37.7887,691
"Pukete West",175.2353,-37.7394,692
"Rotokauri",175.2205,-37.7965,693
"Te Kowhai",175.1633,-37.7219,694
"Tamahere North",175.3527,-37.8126,695
"Chartwell",175.2772,-37.754,696
"Maeroa",175.2603,-37.7783,697
"Whitiora",175.2705,-37.7776,698
"Swarbrick",175.2522,-37.794,699
"Lake Cameron",175.2937,-37.8524,700
"Te Awamutu North",175.3217,-37.9987,701
"Chedworth",175.285,-37.7507,702
"Hillcrest East (Hamilton City)",175.3217,-37.7961,703
"Pukemoremore",175.4231,-37.8,704
"Cambridge North",175.47,-37.874,705
"Cambridge West",175.4578,-37.887,706
"Cambridge Central",175.4716,-37.8932,707
"Tamahere South",175.3898,-37.8474,708
"Claudelands",175.2879,-37.7797,709
"Hautapu Rural",175.4413,-37.8455,710
"Hautapu",175.4437,-37.8789,711
"Te Awamutu Central",175.3264,-38.0102,712
"Eureka-Tauwhare",175.433,-37.7396,713
"Fencourt",175.4826,-37.8489,714
"Karapiro",175.5689,-37.8711,715
"Mangaiti",175.6287,-37.5007,716
"Tatuanui",175.5935,-37.6416,717
"Tahuroa",175.5248,-37.699,718
"Waitoa-Ngarua",175.705,-37.6435,719
"Matamata South",175.7712,-37.8175,720
"Waihou-Manawaru",175.7684,-37.5977,721
"Waharoa-Peria",175.735,-37.7876,722
"Richmond Downs-Wardville",175.7456,-37.716,723
"Matamata North",175.7807,-37.8092,724
"Okauia",175.8458,-37.7729,725
"Hinuera",175.7206,-37.8761,726
"Bethlehem Central",176.115,-37.7066,727
"Te Poi",175.8731,-37.8715,728
"Tirau",175.8143,-37.9592,729
"Putararu",175.7847,-38.0529,730
"Flagstaff South",175.2399,-37.7294,731
"Flagstaff East",175.2538,-37.7342,732
"Rototuna Central",175.2654,-37.7266,733
"Rototuna South",175.2699,-37.7365,734
"Saint Andrews West",175.2503,-37.7531,735
"St James",175.2838,-37.7357,736
"Beerescourt",175.2615,-37.7637,737
"Enderley South",175.2965,-37.7701,738
"Flagstaff North",175.2477,-37.7223,739
"Queenwood (Hamilton City)",175.2662,-37.7465,740
"Hamilton East",175.3008,-37.8013,741
"Melville South",175.2785,-37.8157,742
"Crawshaw",175.235,-37.7721,743
"Saint Andrews East",175.2617,-37.7533,744
"Forest Lake (Hamilton City)",175.2529,-37.7713,745
"Fairfield (Hamilton City)",175.2841,-37.7689,746
"Fairview Downs",175.3032,-37.7613,747
"Peacockes",175.313,-37.8235,748
"Melville North",175.2794,-37.8109,749
"Deanwell",175.2742,-37.8203,750
"Kahikatea",175.2505,-37.8013,751
"Bader",175.2924,-37.8093,752
"Kaipaki",175.3541,-37.8843,753
"Enderley North",175.2942,-37.7626,754
"Greensboro",175.3102,-37.7858,755
"Ngahinapouri",175.205,-37.8655,756
"Hamilton East Cook",175.3034,-37.7914,757
"Glenview",175.2905,-37.8191,758
"Pirongia",175.2047,-37.9944,759
"Goodfellow Park",175.3168,-38.0068,760
"Otorohanga",175.2168,-38.1832,761
"Sherwin Park",175.336,-38.0176,762
"Pekerau",175.3445,-38.008,763
"Pokuru",175.2579,-38.0237,764
"Te Awamutu Stadium",175.3153,-38.016,765
"Te Rahu",175.3486,-37.9496,766
"Kihikihi Central",175.3508,-38.038,767
"Te Awamutu West",175.3047,-38.0085,768
"Tokanui",175.3219,-38.0695,769
"Oaklands-St Kilda",175.4879,-37.8783,770
"Leamington West",175.4709,-37.9033,771
"Cambridge East",175.4735,-37.8822,772
"Cambridge Park-River Garden",175.4497,-37.9014,773
"Pukerimu",175.4163,-37.9342,774
"Leamington South",175.4677,-37.9163,775
"Maungatautari",175.5974,-37.99,776
"Leamington East",175.483,-37.9029,777
"Rotoorangi",175.4371,-38.0212,778
"St Leger",175.3327,-38.0368,779
"Lake Ngaroto",175.2427,-37.9301,780
"Puniu",175.5514,-38.2852,781
"Leamington Central",175.4725,-37.9105,782
"Fraser Street",175.3243,-38.0217,783
"Honikiwi",175.14,-38.1254,784
"Maihiihi",175.3534,-38.2599,785
"Hangatiki",175.0694,-38.2836,786
"Te Kuiti West",175.1602,-38.3364,787
"Te Kuiti East",175.175,-38.3342,788
"Te Kawa",175.2594,-38.1203,789
"Putararu Rural",175.7324,-38.0966,790
"Kinleith",175.7967,-38.2913,791
"Tokoroa Central",175.8734,-38.223,792
"Utuhina",176.2321,-38.1425,793
"Rotongata",175.5485,-38.099,794
"Paraonui",175.8515,-38.2118,795
"Matarawa",175.8535,-38.2244,796
"Moananui",175.863,-38.2391,797
"Rotorua Central",176.2542,-38.1357,798
"Tihiotonga-Whakarewarewa",176.2517,-38.1641,799
"Strathmore (South Waikato District)",175.8653,-38.2323,800
"Ngakuru",176.1995,-38.3266,801
"Stanley Park",175.8635,-38.2208,802
"Marotiri",175.7806,-38.5121,803
"Aria",175.0202,-38.5423,804
"Waipa Valley",175.2766,-38.4584,805
"Herangi",174.8036,-38.4517,806
"Strandon",174.0948,-39.0537,807
"Tiroa",175.5242,-38.5337,808
"Ohakuri",176.0948,-38.5214,809
"Lake Taupo Bays",175.7317,-38.8719,810
"Mapara",175.977,-38.6545,811
"Wairakei-Broadlands",176.2622,-38.6844,812
"Taupo Central West",176.073,-38.6848,813
"Tauhara",176.1136,-38.6736,814
"Taupo Central East",176.0813,-38.6845,815
"Mountview",176.0925,-38.6867,816
"Brentwood (Taupo District)",176.0527,-38.6817,817
"Golden Springs",176.3504,-38.439,818
"Turangi",175.8061,-38.9928,819
"Taumarunui Central",175.2644,-38.8879,820
"Acacia Bay",176.0196,-38.7012,821
"Nukuhau-Rangatira Park",176.0742,-38.6736,822
"Bird Area",176.086,-38.6936,823
"Richmond Heights",176.0883,-38.7171,824
"Waipahihi",176.0993,-38.7104,825
"Waitahanui",176.1543,-38.7407,826
"Wharewaka",176.0792,-38.7342,827
"Kaimanawa",175.7416,-39.1858,828
"National Park",175.3719,-39.1163,829
"Athenree",175.9592,-37.4446,830
"Waiau",175.9098,-37.4459,831
"Tahawai",175.8923,-37.519,832
"Aongatete",175.8939,-37.6169,833
"Mount Maunganui Central",176.1945,-37.6642,834
"Tauranga Hospital",176.147,-37.7032,835
"Pahoia",175.9681,-37.703,836
"Omokoroa",176.0343,-37.6431,837
"Omokoroa Rural",176.0147,-37.6556,838
"Te Puna",176.0688,-37.6831,839
"Te Puke West",176.3108,-37.7881,840
"Rangiuru",176.3346,-37.8554,841
"Mount Maunganui North",176.1732,-37.63,842
"Bethlehem North",176.1075,-37.6906,843
"Tauriko",176.0917,-37.756,844
"Greerton South",176.1252,-37.7277,845
"Tauranga South",176.1568,-37.7084,846
"Minden",176.0154,-37.7727,847
"Kopurererua",176.1039,-37.7755,848
"Bellevue",176.1292,-37.6794,849
"Brookfield West",176.1305,-37.6908,850
"Gate Pa",176.1356,-37.7159,851
"Greerton North",176.1376,-37.7299,852
"Pyes Pa South",176.1224,-37.7493,853
"Poike",176.1506,-37.7322,854
"Baypark-Kairua",176.2496,-37.7075,855
"Brookfield East",176.1414,-37.6873,856
"Pyes Pa North",176.128,-37.7412,857
"Waiorohi",176.1478,-37.8771,858
"Te Puke East",176.3256,-37.7899,859
"Omanu Beach",176.2078,-37.6587,860
"Arataki South",176.2258,-37.6725,861
"Maungatapu",176.1789,-37.7183,862
"Hairini",176.1627,-37.7321,863
"Welcome Bay East",176.2093,-37.7203,864
"Welcome Bay South",176.1974,-37.7364,865
"Doncaster",176.2968,-37.7106,866
"Wairakei",176.359,-37.733,867
"Pyes Pa East",176.1424,-37.748,868
"Pongakawa",176.4961,-37.8931,869
"Palm Beach South-Gravatt",176.2764,-37.6983,870
"Papamoa Beach South",176.3111,-37.7076,871
"Otawa",176.2729,-37.8063,872
"Maketu",176.4635,-37.7595,873
"Mangakakahi Central",176.2306,-38.1282,874
"Kaitemako (Western Bay of Plenty District)",176.1994,-37.7825,875
"Palm Beach North",176.2628,-37.6928,876
"Ngapuna",176.2705,-38.1468,877
"Matua South",176.1325,-37.6676,878
"Otumoetai North",176.149,-37.6695,879
"Otumoetai South",176.1444,-37.6769,880
"Judea",176.1435,-37.6952,881
"Mount Maunganui South",176.1976,-37.649,882
"Arataki North",176.2168,-37.671,883
"Pyes Pa West",176.1087,-37.7543,884
"Te Maunga North",176.2338,-37.6747,885
"Matua North",176.1233,-37.6659,886
"Te Reti",176.1308,-37.7037,887
"Motiti",176.3439,-37.719,888
"Yatton Park",176.1464,-37.7218,889
"Te Maunga South",176.243,-37.6843,890
"Welcome Bay West",176.185,-37.7311,891
"Matapihi",176.1972,-37.6982,892
"Papamoa Beach North",176.2954,-37.7028,893
"Kaitemako (Tauranga City)",176.1767,-37.7396,894
"Ngongotaha Valley",176.1574,-38.1435,895
"Ngongotaha East",176.2139,-38.0628,896
"Ngongotaha West",176.2045,-38.0791,897
"Ngongotaha South",176.2134,-38.0996,898
"Kuirau",176.2424,-38.1347,899
"Hillcrest (Rotorua District)",176.2347,-38.1499,900
"Victoria",176.2445,-38.1429,901
"Fenton Park",176.2575,-38.1522,902
"Tui Ridge",176.1293,-38.017,903
"Pomare",176.2217,-38.1544,904
"Springfield South",176.2277,-38.1633,905
"Springfield North",176.2359,-38.1589,906
"Holdens Bay-Rotokawa",176.3251,-38.1148,907
"Kaingaroa-Whakarewarewa",176.457,-38.2576,908
"Glenholme North",176.2461,-38.1474,909
"Selwyn Heights",176.2167,-38.1187,910
"Pleasant Heights",176.2063,-38.1283,911
"Fairy Springs",176.229,-38.1149,912
"Waiohewa",176.3812,-38.1091,913
"Owhata West",176.2912,-38.1298,914
"Lynmore",176.289,-38.1494,915
"Kawaha",176.2369,-38.1088,916
"Pukehangi North",176.2055,-38.1349,917
"Mangakakahi West",176.218,-38.1357,918
"Owhata East",176.2981,-38.1378,919
"Kawerau Industrial",176.7218,-38.0712,920
"Tarawera Park",176.7094,-38.0903,921
"Koutu",176.2382,-38.1215,922
"Pukehangi South",176.2073,-38.1421,923
"Glenholme South",176.2476,-38.1536,924
"Fordlands",176.2232,-38.1434,925
"Sunnybrook",176.2092,-38.1497,926
"Rotoiti-Rotoehu",176.4581,-38.0571,927
"Matata-Otakiri",176.8004,-37.9385,928
"Onepu Spring",176.7499,-38.0413,929
"Edgecumbe",176.8291,-37.9737,930
"Thornton-Awakeri",176.9084,-37.9839,931
"Coastlands",176.9623,-37.9436,932
"Whakatane Central",176.9923,-37.9536,933
"Trident",176.9777,-37.969,934
"Allandale",176.9864,-37.968,935
"Manawahe",176.6696,-37.9495,936
"Whakatane West",176.9656,-37.9634,937
"Te Teko Lakes",176.8026,-38.0571,938
"Wainui",177.0339,-38.0139,939
"Ohope",177.1151,-37.9833,940
"Galatea",176.8316,-38.5948,941
"Waingarara-Waimana",177.0217,-38.2823,942
"Waiotahi",177.2017,-38.0467,943
"Opotiki",177.2868,-38.0131,944
"Otara-Tirohanga",177.348,-38.0285,945
"Murupara",176.7064,-38.4539,946
"Monika Reserve",176.675,-38.0954,947
"Cape Runaway",177.7894,-37.8562,948
"Woodlands",177.2597,-38.0166,949
"Oponae",177.3822,-38.2038,950
"Ruatoria-Raukumara",178.1959,-37.8668,951
"Tokomaru",178.1402,-38.0791,952
"Hangaroa",177.6333,-38.6784,953
"Gisborne Central",178.023,-38.6678,954
"Te Arai",177.897,-38.6583,955
"Hexton",177.9681,-38.6202,956
"Lytton",177.999,-38.6381,957
"Makaraka-Awapuni",177.9726,-38.6579,958
"Riverdale",177.9977,-38.6438,959
"Te Hapara North",178.0005,-38.6502,960
"Elgin",177.9921,-38.6594,961
"Te Hapara East",178.0172,-38.656,962
"Centennial Crescent",178.0094,-38.6628,963
"Whataupoko West",178.029,-38.6584,964
"McLean Park",176.9161,-39.5083,965
"East Cape",178.2531,-37.6846,966
"Wharekaka",178.1568,-38.4323,967
"Mangapapa East",178.0215,-38.6435,968
"Waipaoa",177.7073,-38.3413,969
"Kaiti North",178.0447,-38.6676,970
"Kaiti South",178.0392,-38.6792,971
"Wainui-Okitu",178.0598,-38.6947,972
"Mangapapa North",178.0122,-38.6395,973
"Te Hapara South",178.0043,-38.6566,974
"Whataupoko East",178.032,-38.6499,975
"Tamarau",178.0534,-38.679,976
"Mangapapa South",178.0143,-38.6491,977
"Outer Kaiti",178.0566,-38.6694,978
"Otaki",175.1397,-40.753,979
"Frasertown-Ruakituri",177.35,-38.7957,980
"Wairoa",177.419,-39.0391,981
"Maungataniwha-Raupunga",177.0571,-38.9718,982
"Whakaki",177.5418,-39.0176,983
"Mahia",177.7158,-38.9804,984
"Taradale Central",176.8496,-39.5289,985
"Bluff Hill",176.9154,-39.4808,986
"Puketapu-Eskdale",176.7913,-39.4378,987
"Bridge Pa",176.7628,-39.6331,988
"Omahu Strip",176.7873,-39.6131,989
"Frimley",176.8293,-39.6217,990
"Camberley",176.8258,-39.63,991
"Longlands-Pukahu",176.825,-39.6713,992
"Karamu",176.8838,-39.6282,993
"Hastings Central",176.8464,-39.6396,994
"Havelock Hills",176.8865,-39.6834,995
"Bay View",176.8584,-39.4416,996
"Onekawa West",176.8822,-39.497,997
"Ahuriri",176.8976,-39.4827,998
"Taradale South",176.8299,-39.5432,999
"Napier Central",176.9157,-39.4928,1000
"Tareha Reserve",176.8514,-39.544,1001
"Omahu-Pakowhai",176.8202,-39.5666,1002
"Twyford",176.8187,-39.5996,1003
"St Leonards",176.8332,-39.6347,1004
"Raureka",176.8249,-39.6407,1005
"Mayfair",176.8634,-39.6401,1006
"Havelock North-Central",176.8779,-39.669,1007
"Hereworth",176.8928,-39.6726,1008
"Poukawa",176.7023,-39.76,1009
"Irongate",176.8012,-39.6386,1010
"Tomoana",176.8638,-39.6246,1011
"Karanema-St Hill",176.8863,-39.6645,1012
"Puketitiri-Tutira",176.643,-39.1975,1013
"Iona",176.8764,-39.6772,1014
"Hospital Hill",176.9021,-39.4895,1015
"Greenmeadows South",176.8674,-39.5259,1016
"Bledisloe Park",176.8565,-39.5344,1017
"Maraenui",176.9037,-39.5158,1018
"Meeanee-Awatoto",176.893,-39.5441,1019
"Sherenden-Crownthorpe",176.498,-39.4758,1020
"Maraekakaho",176.297,-39.6263,1021
"Flaxmere Park",176.7871,-39.6237,1022
"Onekawa East",176.8957,-39.5093,1023
"Akina Park",176.8405,-39.6501,1024
"Mahora",176.8489,-39.624,1025
"Lucknow",176.8701,-39.6707,1026
"Mangaonuku",176.4171,-39.8038,1027
"Waipawa",176.5913,-39.9398,1028
"Waipukurau West",176.5405,-39.9974,1029
"Waipukurau East",176.5603,-40.0023,1030
"Lochain Park",176.782,-39.6195,1031
"Flaxmere South",176.7913,-39.631,1032
"Mangateretere",176.9252,-39.6347,1033
"Flaxmere West",176.7732,-39.6162,1034
"Queens Square",176.8538,-39.6445,1035
"Raceway Park",176.8325,-39.6461,1036
"Tomoana Crossing",176.8562,-39.6314,1037
"Parkhaven",176.8483,-39.6546,1038
"Brookvale",176.8952,-39.6597,1039
"Haumoana-Te Awanga",176.9732,-39.6348,1040
"Nelson Park",176.908,-39.4977,1041
"Marewa East",176.9068,-39.5075,1042
"Clive",176.913,-39.5868,1043
"Cornwall Park",176.8424,-39.6308,1044
"Parkvale",176.861,-39.6495,1045
"Kahuranaki",176.9349,-39.7652,1046
"Te Mata Hills",176.9039,-39.6897,1047
"Carterton South",175.5143,-41.0343,1048
"Westshore",176.8812,-39.4746,1049
"Tamatea East",176.8692,-39.516,1050
"Onekawa Central",176.8889,-39.506,1051
"Taradale West",176.8383,-39.5261,1052
"Marewa West",176.896,-39.4992,1053
"Greenmeadows Central",176.8616,-39.5226,1054
"Greenmeadows West",176.8535,-39.5159,1055
"Poraiti Hills",176.8342,-39.5007,1056
"Tamatea North",176.8724,-39.5079,1057
"Poraiti Flat",176.8588,-39.4927,1058
"Tamatea West",176.8634,-39.5129,1059
"Onekawa South",176.8917,-39.5164,1060
"Makaretu",176.3127,-39.9416,1061
"Mangarara",176.7626,-39.99,1062
"Taurekaitai",176.5334,-40.2072,1063
"Dannevirke East",176.1021,-40.2102,1064
"Port Taranaki",174.0294,-39.0608,1065
"Omata",174.0185,-39.0943,1066
"Oakura",173.9507,-39.1169,1067
"Moturoa",174.0483,-39.0627,1068
"Kaitake",173.9422,-39.1932,1069
"Blagdon-Lynmouth",174.0432,-39.0707,1070
"Kawaroa",174.0657,-39.0642,1071
"New Plymouth Central",174.0754,-39.057,1072
"Whalers Gate",174.0371,-39.0858,1073
"Westown",174.0601,-39.0748,1074
"Waiwhakaiho-Bell Block South",174.1643,-39.0364,1075
"Hurdon",174.0506,-39.0953,1076
"Merrilands",174.1021,-39.0645,1077
"Welbourn",174.0931,-39.0857,1078
"Fitzroy-Glen Avon",174.1236,-39.0743,1079
"Waitara West",174.2265,-38.9975,1080
"Upper Vogeltown",174.0833,-39.0902,1081
"Highlands Park (New Plymouth District)",174.1044,-39.0807,1082
"Lepperton-Brixton",174.2187,-39.0348,1083
"Mangorei",174.0602,-39.181,1084
"Tikorangi",174.3431,-39.041,1085
"Inglewood",174.2015,-39.1565,1086
"Spotswood",174.0243,-39.071,1087
"Frankleigh Park",174.0701,-39.0842,1088
"Ferndale",174.058,-39.0898,1089
"Bell Block West",174.1376,-39.03,1090
"Cape Egmont",173.8716,-39.3136,1091
"Lower Vogeltown",174.0782,-39.0721,1092
"Mangaoraka",174.1639,-39.1347,1093
"Stratford Central",174.2891,-39.3376,1094
"Toko",174.3483,-39.3171,1095
"Marfell",174.0471,-39.075,1096
"Bell Block East",174.17,-39.0162,1097
"Waitara East",174.2439,-38.9953,1098
"Everett Park",174.1812,-39.2279,1099
"Eltham",174.299,-39.4311,1100
"Paraite",174.1621,-39.0536,1101
"Manaia-Kapuni",174.1238,-39.5178,1102
"Egmont Showgrounds",174.2631,-39.5762,1103
"Tarata",174.3905,-39.1605,1104
"Ramanui",174.2748,-39.6061,1105
"Douglas",174.6297,-39.2407,1106
"Stratford North",174.2826,-39.328,1107
"Stratford South",174.2852,-39.349,1108
"Opunake",173.8588,-39.4513,1109
"Hawera Central",174.2831,-39.5904,1110
"Pembroke",174.1854,-39.3402,1111
"Kaponga-Mangatoki",174.2298,-39.4345,1112
"King Edward Park",174.2768,-39.5822,1113
"Taungatara",173.9754,-39.4477,1114
"Normanby-Tawhiti",174.3114,-39.5819,1115
"Okaiawa",174.2176,-39.5375,1116
"Turuturu",174.2791,-39.5707,1117
"Te Roti-Moeroa",174.4935,-39.439,1118
"Manutahi-Waitotora",174.5753,-39.7838,1119
"Ohangai",174.449,-39.5384,1120
"Patea",174.4704,-39.7542,1121
"Mowhanau",174.9029,-39.8434,1122
"College Estate",175.0347,-39.9305,1123
"Whanganui Central",175.047,-39.9351,1124
"Mangawhio",174.7456,-39.6107,1125
"Balgownie",175.0088,-39.9486,1126
"Whanganui East-Riverlands",175.0613,-39.9218,1127
"Ngapuke",175.3781,-38.854,1128
"Taumarunui North",175.2447,-38.8625,1129
"Taumarunui East",175.3138,-38.8885,1130
"Otangiwai-Ohura",175.003,-38.867,1131
"Raetihi",175.276,-39.4293,1132
"Ohakune",175.4147,-39.4116,1133
"Kimbolton North",175.5821,-40.2075,1134
"Tangiwai",175.1677,-39.3624,1135
"Waiouru",175.6776,-39.4698,1136
"Taihape",175.7968,-39.6781,1137
"Castlecliff East",174.9927,-39.9365,1138
"Lower Aramoho",175.0531,-39.9045,1139
"Titoki",175.01,-39.9359,1140
"Laird Park",175.0458,-39.9196,1141
"Cornmarket",175.0508,-39.9263,1142
"Kaitoke-Fordell",175.1562,-39.9419,1143
"Gonville South",175.034,-39.9479,1144
"Brunswick-Papaiti",175.0292,-39.8768,1145
"Otamatea (Whanganui District)",175.0219,-39.9058,1146
"Springvale North",175.0168,-39.921,1147
"St Johns Hill West",175.0306,-39.9202,1148
"Springvale West",175.0175,-39.9295,1149
"Gonville North",175.029,-39.9385,1150
"St Johns Hill East",175.0396,-39.9131,1151
"Springvale East",175.0232,-39.9256,1152
"Upper Aramoho",175.0698,-39.896,1153
"Turitea",175.6086,-40.3905,1154
"Whanganui East-Williams Domain",175.0615,-39.9139,1155
"Gonville West",175.0182,-39.9427,1156
"Marton North",175.371,-40.063,1157
"Upper Whanganui",175.1695,-39.7009,1158
"Castlecliff West",174.9772,-39.9297,1159
"Wembley Park",175.064,-39.9076,1160
"Bastia-Durie Hill",175.066,-39.9344,1161
"Palmerston North Central",175.6101,-40.3554,1162
"Putiki",175.05,-39.9506,1163
"Turakina",175.2577,-40.0114,1164
"Otairi",175.5255,-39.8896,1165
"Tremaine",175.5987,-40.3397,1166
"Marton Rural",175.3774,-40.1098,1167
"Bulls",175.3825,-40.1794,1168
"Mokai Patea",175.8944,-39.5957,1169
"Marton South",175.3854,-40.0843,1170
"Ohakea-Sanson",175.3949,-40.2146,1171
"Feilding Central",175.5811,-40.2387,1172
"Parewanui",175.2848,-40.1794,1173
"Esplanade",175.6143,-40.3673,1174
"Linton Camp",175.5872,-40.4051,1175
"Kimbolton South",175.578,-40.2263,1176
"Palmerston North Airport",175.6224,-40.3124,1177
"Palmerston North Hospital",175.6148,-40.3417,1178
"Tokorangi",175.5497,-40.1238,1179
"Pohangina-Apiti",175.9125,-40.072,1180
"Kimbolton West",175.5702,-40.2182,1181
"Kiwitea",175.696,-40.0082,1182
"Awahuri",175.4722,-40.25,1183
"Makino",175.5656,-40.2062,1184
"Warwick",175.559,-40.2228,1185
"Taonui",175.6934,-40.2363,1186
"Milson South",175.6051,-40.3344,1187
"Roslyn (Palmerston North City)",175.629,-40.3355,1188
"Papaioea North",175.6189,-40.3472,1189
"Taikorea",175.3943,-40.3585,1190
"Awapuni South",175.5934,-40.3778,1191
"Foxton North",175.2951,-40.4706,1192
"Foxton South",175.311,-40.4842,1193
"Oroua Downs",175.2907,-40.3283,1194
"Kauwhata",175.476,-40.3767,1195
"Newbury",175.5799,-40.334,1196
"Takaro North",175.5987,-40.3499,1197
"West End",175.6034,-40.368,1198
"Ashhurst",175.7586,-40.2912,1199
"Miranui",175.4811,-40.5355,1200
"Sandon",175.5461,-40.2262,1201
"Poutoa",175.6454,-40.39,1202
"Papaioea South",175.6255,-40.3521,1203
"Whakarongo",175.6911,-40.3108,1204
"Awapuni North",175.5887,-40.3703,1205
"Maraetarata",175.5791,-40.3839,1206
"Milverton",175.6198,-40.3597,1207
"Ruahine",175.6316,-40.3701,1208
"Pihauatua",175.6047,-40.4528,1209
"Highbury East",175.5862,-40.3613,1210
"Terrace End",175.6336,-40.3417,1211
"Hokowhitu East",175.6363,-40.3574,1212
"Milson North",175.6073,-40.3271,1213
"Kelvin Grove North",175.6605,-40.3224,1214
"Hokowhitu Central",175.6259,-40.3617,1215
"Takaro South",175.5936,-40.3569,1216
"Royal Oak (Palmerston North City)",175.6626,-40.3307,1217
"Ruamahanga",175.6419,-40.3492,1218
"Cloverlea (Palmerston North City)",175.5852,-40.3451,1219
"Park West",175.5768,-40.3664,1220
"Westbrook",175.578,-40.3557,1221
"Kelvin Grove West",175.6444,-40.3286,1222
"Aokautere",175.6562,-40.3693,1223
"Aokautere Rural",175.7181,-40.3679,1224
"Thorndon",174.7742,-41.2725,1225
"Pahiatua",175.8372,-40.4547,1226
"Papatawa",175.9959,-40.2208,1227
"Dannevirke West",176.1024,-40.1971,1228
"Norsewood",176.1511,-40.1114,1229
"Mangatainoka",175.8255,-40.3976,1230
"Woodville",175.8664,-40.3367,1231
"Kaitawa",175.9768,-40.4725,1232
"Nireaha-Eketahuna",175.794,-40.6536,1233
"Waitahora",176.2162,-40.3007,1234
"Owhanga",176.3104,-40.5132,1235
"Opaki",175.6596,-40.9022,1236
"Solway North",175.6303,-40.9575,1237
"Masterton Central",175.6617,-40.9505,1238
"Kuripuni",175.6433,-40.9517,1239
"Douglas Park",175.6525,-40.9463,1240
"Lansdowne East",175.6812,-40.9414,1241
"Foxton Beach",175.2308,-40.464,1242
"Waitarere",175.2571,-40.5738,1243
"Ohau-Manakau",175.2075,-40.6989,1244
"Levin Central",175.2848,-40.6233,1245
"Tararua",175.3093,-40.6421,1246
"Kere Kere",175.3164,-40.5271,1247
"Waiopehu",175.299,-40.6322,1248
"Donnelly Park",175.2704,-40.6142,1249
"Waikawa (Horowhenua District)",175.1885,-40.6535,1250
"Kawiu South",175.2839,-40.6151,1251
"Makomako",175.2746,-40.624,1252
"Kawiu North",175.3005,-40.6137,1253
"Shannon",175.4133,-40.5499,1254
"Taitoko",175.2892,-40.6365,1255
"Makahika",175.4015,-40.6517,1256
"Wellington Central",174.7757,-41.2849,1257
"Porirua Central",174.8258,-41.1458,1258
"Playford Park",175.2904,-40.6289,1259
"Paraparaumu Central",174.9989,-40.908,1260
"Fairfield (Horowhenua District)",175.3094,-40.6214,1261
"Waikanae West",175.0664,-40.866,1262
"Raumati Beach West",174.9822,-40.9158,1263
"Pipitea-Kaiwharawhara",174.7877,-41.2762,1264
"Queenwood (Horowhenua District)",175.2966,-40.6207,1265
"Waitohu",175.1673,-40.7598,1266
"Forest Lakes (Kapiti Coast District)",175.1696,-40.7437,1267
"Te Horo",175.1059,-40.7971,1268
"Paraparaumu Beach West",174.9847,-40.892,1269
"Otaki Forks",175.1869,-40.8238,1270
"Waikanae East",175.0788,-40.867,1271
"Dixon Street",174.7747,-41.291,1272
"Otaki Beach",175.116,-40.7554,1273
"Waikanae Park",175.0492,-40.8625,1274
"Paraparaumu Beach East",174.9934,-40.8948,1275
"Paraparaumu North",175.0114,-40.8946,1276
