"n","x","y","id"
"Orewa South",174.6858,-36.5901,144
"Orewa Central",174.6945,-36.5873,145
"Waiake",174.7444,-36.7067,146
"Albany West",174.6879,-36.7415,147
"Hobson Ridge North",174.7628,-36.8471,148
"Orewa North",174.6759,-36.5811,149
"Millwater South",174.67,-36.6123,150
"Dairy Flat West",174.6189,-36.671,151
"Kingsway",174.6865,-36.6061,152
"Whangaparoa Central",174.7336,-36.6366,153
"Takapuna Central",174.7695,-36.782,154
"Akoranga",174.7545,-36.7966,155
"Stanley Point",174.7841,-36.8266,156
"Victoria Park",174.7566,-36.8486,157
"Grafton",174.7683,-36.8601,158
"Mount Eden North East",174.7656,-36.8691,159
"Onehunga-Te Papapa Industrial",174.7949,-36.9261,160
"Mount Wellington Industrial",174.8516,-36.9205,161
"Dairy Flat North",174.6537,-36.6447,162
"Red Beach West",174.6955,-36.6113,163
"Coatesville",174.6434,-36.7227,164
"Long Bay",174.7331,-36.6895,165
"Northcross",174.7308,-36.7117,166
"Browns Bay Central",174.7433,-36.7143,167
"Forrest Hill West",174.7451,-36.769,168
"Grey Lynn East",174.7521,-36.8618,169
"South Head",174.3123,-36.5935,170
"Mount Albert West",174.7077,-36.882,171
"Riverhead",174.5837,-36.7581,172
"New Lynn Central",174.686,-36.9075,173
"Windsor Park",174.7357,-36.7398,174
"Taupaki",174.5542,-36.8216,175
"West Harbour West",174.6225,-36.8187,176
"Massey West",174.6074,-36.8499,177
"Red Beach East",174.7049,-36.6059,178
"Stanmore Bay East",174.7418,-36.6293,179
"Manly East",174.7613,-36.6334,180
"Westlake",174.7536,-36.7766,181
"Stanmore Bay West",174.7272,-36.623,182
"Vipond",174.718,-36.618,183
"Karangahape",174.7564,-36.859,184
"Wiri West",174.8624,-37.0083,185
"Rothesay Bay",174.7473,-36.7236,186
"Ponsonby East",174.7416,-36.8514,187
"Freemans Bay",174.7504,-36.8522,188
"Hobson Ridge South",174.7581,-36.8543,189
"Queen Street South West",174.7613,-36.8543,190
"Greenlane North",174.793,-36.8916,191
"Silverdale (Hamilton City)",175.3291,-37.7913,192
"Pinehill",174.7236,-36.7313,193
"Manukau Central",174.8695,-36.9914,194
"Gulf Harbour North",174.7941,-36.6095,195
"Chatswood",174.7105,-36.8184,196
"Epsom North",174.7707,-36.877,197
"Torbay",174.7509,-36.6951,198
"Milford Central",174.7685,-36.7717,199
"Paremoremo East",174.6602,-36.7498,200
"Waipatukahu",174.4207,-36.7791,201
"Muriwai Valley-Bethells Beach",174.4703,-36.8197,202
"Manly West",174.753,-36.6334,203
"Tindalls-Matakatia",174.777,-36.6166,204
"Oteha East",174.7221,-36.7166,205
"Gulf Harbour South",174.796,-36.6232,206
"Murrays Bay West",174.7417,-36.7318,207
"West Harbour Clearwater Cove",174.637,-36.8105,208
"West Harbour Luckens Point",174.637,-36.818,209
"Swanson",174.5846,-36.8649,210
"Birkenhead South",174.7303,-36.816,211
"Panmure Glen Innes Industrial",174.8508,-36.8837,212
"Otahuhu Central",174.836,-36.9418,213
"Muriwai",174.4292,-36.8253,214
"Waitakere",174.5407,-36.857,215
"Glendene South",174.6542,-36.8969,216
"Millwater North",174.6723,-36.6015,217
"Dairy Flat South",174.6792,-36.6956,218
"Morningside (Auckland)",174.732,-36.8731,219
"Middlemore",174.8431,-36.9604,220
"Westgate South",174.6079,-36.8271,221
"Symonds Street West",174.7633,-36.8568,222
"Paremoremo West",174.6158,-36.7551,223
"Birkdale North",174.7009,-36.7937,224
"Glenfield Central",174.7259,-36.7848,225
"Symonds Street North West",174.7659,-36.855,226
"Eden Valley",174.7526,-36.8746,227
"Fairview Heights",174.7168,-36.7101,228
"Glamorgan",174.7406,-36.7013,229
"Hobsonville Point",174.6617,-36.7969,230
"Mairangi Bay North",174.7465,-36.7386,231
"Sunnynook South",174.7359,-36.7553,232
"Northcote South (Auckland)",174.7385,-36.8065,233
"Anzac Avenue",174.772,-36.8477,234
"Wesley South",174.7311,-36.9093,235
"Glenfield West",174.7179,-36.7827,236
"Northcote Central (Auckland)",174.7444,-36.7989,237
"Hobsonville",174.6281,-36.8099,238
"Te Atatu South-McLeod South",174.6501,-36.8808,239
"Kelston South",174.6627,-36.9038,240
"Favona North",174.809,-36.9492,241
"Takanini South East",174.9451,-37.049,242
"Henderson North",174.6253,-36.8761,243
"Oratia",174.6118,-36.9449,244
"Awaruku",174.7273,-36.6999,245
"Devonport",174.7969,-36.8272,246
"Unsworth Heights West",174.7113,-36.7589,247
"Hillcrest East (Auckland)",174.7362,-36.7944,248
"Northcote Point (Auckland)",174.7445,-36.8161,249
"Grey Lynn North",174.7358,-36.8588,250
"Te Atatu Peninsula West",174.647,-36.8487,251
"Onehunga Central",174.7871,-36.9197,252
"Greenhithe East",174.6893,-36.7641,253
"Unsworth Heights East",174.7198,-36.756,254
"Glenfield North",174.7266,-36.7739,255
"Symonds Street East",174.7664,-36.8569,256
"Greenhithe West",174.6735,-36.7735,257
"Forrest Hill North",174.7465,-36.7572,258
"Epsom Central-North",174.7699,-36.8878,259
"Albany Heights",174.694,-36.718,260
"Browns Bay South East",174.7377,-36.7248,261
"Sunnynook North",174.7417,-36.7509,262
"Te Atatu South-Central",174.6495,-36.8622,263
"Murrays Bay East",174.7516,-36.731,264
"Mairangi Bay South",174.7486,-36.7439,265
"Royal Heights North",174.6277,-36.8285,266
"Te Atatu Peninsula Central",174.6517,-36.8361,267
"Mount Albert Central",174.7234,-36.8835,268
"St Lukes",174.7313,-36.8818,269
"Hillsborough North (Auckland)",174.7582,-36.9136,270
"Otara Central",174.8768,-36.9559,271
"Totara Vale North",174.7301,-36.7597,272
"Castor Bay",174.7618,-36.7604,273
"Belmont (Auckland)",174.7882,-36.8052,274
"Mount Eden East",174.7605,-36.885,275
"Botany Junction",174.8964,-36.9596,276
"Massey South",174.6163,-36.8499,277
"Henderson Larnoch",174.618,-36.8592,278
"Avondale South (Auckland)",174.6975,-36.9034,279
"Birkdale South",174.7076,-36.8004,280
"Glenfield East",174.7346,-36.7803,281
"Milford West",174.7602,-36.7713,282
"Herne Bay",174.7316,-36.8449,283
"Massey Royal Road West",174.6125,-36.8343,284
"Royal Heights South",174.6283,-36.8355,285
"Massey East",174.6206,-36.8435,286
"Glen Eden Woodglen",174.6433,-36.9175,287
"Avondale North (Auckland)",174.6956,-36.8895,288
"Epsom East",174.7783,-36.8953,289
"Massey Central",174.606,-36.8391,290
"Henderson Lincoln West",174.6241,-36.8598,291
"Glen Eden Central",174.653,-36.9156,292
"Bayview West",174.7046,-36.7759,293
"Bayview South",174.7036,-36.782,294
"Ellerslie Central",174.8075,-36.892,295
"Summerland North",174.6135,-36.876,296
"Western Heights (Auckland)",174.6131,-36.8874,297
"Henderson North East",174.6401,-36.8794,298
"Westmere South-Western Springs",174.7224,-36.8604,299
"Glen Eden North",174.657,-36.9077,300
"Konini",174.6437,-36.9292,301
"Kaurilands",174.6558,-36.9295,302
"Blockhouse Bay East",174.7093,-36.9211,303
"Hillcrest North (Auckland)",174.7438,-36.79,304
"Narrow Neck",174.7966,-36.8157,305
"Bayview East",174.7134,-36.77,306
"Mount Wellington North West",174.8293,-36.8939,307
"Beach Haven East",174.6936,-36.7927,308
"Glenfield South West",174.7129,-36.7894,309
"Beach Haven South",174.6942,-36.8071,310
"Birkenhead West",174.7129,-36.8064,311
"Birkenhead North",174.7269,-36.8073,312
"Ranui North",174.6022,-36.8601,313
"Te Atatu South-Edmonton",174.6422,-36.8647,314
"Takapuna South",174.781,-36.7952,315
"Kingsland",174.7459,-36.8703,316
"Orakei West",174.8153,-36.8571,317
"Beach Haven West",174.6862,-36.7933,318
"Blockhouse Bay South",174.6984,-36.9253,319
"Ranui Domain",174.6043,-36.8659,320
"Sunnyvale East",174.6425,-36.8996,321
"Kelston North",174.6663,-36.8958,322
"Te Atatu Peninsula East",174.6562,-36.8435,323
"Grey Lynn West",174.7337,-36.8644,324
"Saint Marys Bay",174.7467,-36.8407,325
"Forrest Hill East",174.7522,-36.7643,326
"Ranui South East",174.6047,-36.8719,327
"Henderson East",174.6385,-36.8868,328
"Swanson Rural",174.5711,-36.8811,329
"Glendene North",174.649,-36.8921,330
"Mount Albert North",174.7177,-36.8748,331
"Point Chevalier East",174.7141,-36.867,332
"Te Atatu Peninsula North West",174.6488,-36.8266,333
"Green Bay North",174.6853,-36.9263,334
"Avondale Central (Auckland)",174.6952,-36.8955,335
"Te Atatu South-McLeod North",174.6469,-36.8741,336
"Hobson Ridge Central",174.7605,-36.8507,337
"Maungawhau",174.7543,-36.8909,338
"Hauraki",174.7769,-36.8006,339
"Otahuhu North",174.8472,-36.9383,340
"Henderson Valley Park",174.6171,-36.8923,341
"Glen Eden Rosier",174.6364,-36.9154,342
"Balmoral",174.745,-36.8872,343
"Sylvia Park",174.8405,-36.9149,344
"Mangere Central",174.7988,-36.971,345
"Western Heights (Rotorua District)",176.221,-38.1237,346
"Mangere Bridge Ambury",174.7688,-36.9478,347
"Titirangi South",174.6562,-36.9458,348
"New Lynn Central South",174.6823,-36.9138,349
"Piha",174.4742,-36.9619,350
"Waima-Woodlands Park",174.6354,-36.9467,351
"Laingholm",174.6308,-36.9646,352
"New Lynn South",174.6828,-36.9211,353
"Waiatarua",174.5947,-36.9223,354
"Sandringham North",174.7399,-36.8805,355
"Bayswater",174.778,-36.8141,356
"Avondale Rosebank",174.6797,-36.889,357
"New Lynn North West",174.6717,-36.9079,358
"Fruitvale",174.6647,-36.9145,359
"Blockhouse Bay North",174.6966,-36.9145,360
"Lynfield North",174.7176,-36.9195,361
"Owairaka West",174.7111,-36.8953,362
"Mount Eden North",174.761,-36.8748,363
"Eden Park",174.746,-36.8748,364
"Cheltenham",174.8066,-36.8254,365
"Ponsonby West",174.7344,-36.8502,366
"Remuera Waitaramoa",174.7942,-36.8715,367
"Remuera North",174.804,-36.8685,368
"Sunnyhills West-Pakuranga North",174.8727,-36.9085,369
"Otahuhu South West",174.8401,-36.9522,370
"Grey Lynn Central",174.7462,-36.8621,371
"Point Chevalier West",174.7025,-36.8656,372
"Westmere North",174.7186,-36.8544,373
"Green Bay South",174.6773,-36.9335,374
"Panmure West",174.8447,-36.8997,375
"Remuera South",174.7953,-36.8844,376
"Waterview",174.6994,-36.8795,377
"New Windsor South",174.7164,-36.9085,378
"Mount Roskill Central North",174.743,-36.9088,379
"Royal Oak East (Auckland)",174.7766,-36.9118,380
"Glen Eden West",174.6288,-36.913,381
"Mount Albert South",174.7169,-36.8895,382
"Remuera West",174.7859,-36.8701,383
"Otahuhu Industrial",174.828,-36.9502,384
"Parnell East",174.7875,-36.8562,385
"Epsom Central-South",174.7679,-36.8968,386
"The Strand",174.7745,-36.8503,387
"Mount Roskill North",174.7442,-36.9005,388
"Three Kings East",174.7584,-36.9043,389
"Mangere Bridge",174.7885,-36.9436,390
"Mission Bay",174.8324,-36.8558,391
"Hillsborough West (Auckland)",174.7473,-36.9199,392
"Lynfield South",174.7201,-36.9301,393
"Kohimarama",174.8409,-36.8577,394
"Saint Heliers North",174.8619,-36.8523,395
"Glendowie South",174.8672,-36.8647,396
"Marlborough Sounds East",174.0401,-41.3213,397
"West Lynn",174.6662,-36.9252,398
"Glenavon",174.7032,-36.9092,399
"Ellerslie South",174.8156,-36.9007,400
"Botany Downs West",174.9141,-36.9095,401
"Saint Johns West",174.8337,-36.8821,402
